code,name,city,country_id,state
EAP,EuroAirport Basel-Mulhouse-Freiburg Airport,Basel,CH,
LYG,Lianyungang Airport,Niushan,CN,Jiangsu Sheng
ACI,Alderney Airport,Beaumont-Hague,GB,Lower Normandy
ANT,St Anton,Sankt Anton am Arlberg,AT,Tyrol
APW,Faleolo Airport,Satapuala,WS,A'ana
LYI,Linyi Airport,Linyi,CN,Shandong Sheng
MDE,Jose Maria Cordova International Airport,Rionegro,CO,Antioquia
MDH,Southern Illinois,De Soto,US,Illinois
JTN,Antônio Ribeiro Nogueira Jr. State Airport,Itanhaém,BR,
MDK,Mbandaka,Mbandaka,CD,Equateur
LMV,Madivaru Airport,Madivaru,MV,
LZC,Lazaro Cardenas Airport,La Orilla,MX,Michoacan
AQP,Rodriguez Ballon International Airport,Arequipa,PE,Arequipa
AST,Astoria,Warrenton,US,Oregon
TYC,Taiyuan Yaocheng Airport,Mengfeng,CN,Shanxi
LZH,Liuzhou Airport,Labu,CN,Guangxi Zhuangzu Zizhiqu
MEC,Manta Airport,Manta,EC,Manabi
DZH,Dazhou Jinya Airport,Dazhou,CN,Sinjuan
EES,Berenice International Airport,Berenice City,EG,
KFZ,Kukës International Airport,Kukës,AL,
