city,country,population
Tokyo,Japan,37785000.0
Jakarta,Indonesia,33756000.0
Delhi,India,32226000.0
Chongqing,China,32054159.0
Guangzhou,China,26940000.0
Mumbai,India,24973000.0
Manila,Philippines,24922000.0
Shanghai,China,24870895.0
São Paulo,Brazil,23086000.0
Seoul,"Korea, South",23016000.0
Beijing,China,21893095.0
Mexico City,Mexico,21804000.0
Kolkāta,India,21747000.0
Chengdu,China,20937757.0
Cairo,Egypt,20296000.0
Karachi,Pakistan,20249000.0
New York,United States,19268388.0
Dhaka,Bangladesh,19134000.0
Bangkok,Thailand,18007000.0
Shenzhen,China,17619000.0
