airport_code,airport_name,airport_city_key,airport_country_key,airport_city,airport_country,airport_latitude,airport_longitude
MNT,Kent County,shafter,US,Shafter,US,35.5,-119.26667
SGX,Songea,songea,TZ,Songea,TZ,-10.682118,35.891195
CPC,Chapelco Airport,junin de los andes,AR,Junin de los Andes,AR,-40.066666,-71.1333
NVT,Navegantes Airport,navegantes,BR,Navegantes,BR,-26.879429,-48.649354
SBS,Steamboat Springs,steamboat springs,US,Steamboat Springs,US,40.516904,-106.865745
GRT,Gujrat,lala musa,PK,Lala Musa,PK,32.666666,74.03333
KSQ,Karshi Airport,qarshi,UZ,Qarshi,UZ,38.80981,65.77531
TKH,Nakhon Sawan,takhli,TH,Takhli,TH,15.25,100.35
SDJ,Sendai Airport,iwanuma,JP,Iwanuma,JP,38.137423,140.921352
HDN,Yampa Valley Airport,hayden,US,Hayden,US,40.481469,-107.220936
SAP,Ramon Villeda Morales International Airport,la lima,HN,La Lima,HN,15.453797,-87.923415
USI,Mabaruma,mabaruma,GY,Mabaruma,GY,8.166667,-59.833332
TSV,Townsville Airport,townsville,AU,Townsville,AU,-19.251898,146.774474
SDG,Sanandaj Airport,sanandaj,IR,Sanandaj,IR,35.245204,47.008426
GPB,Tancredo Thomaz Faria,guarapuava,BR,Guarapuava,BR,-25.333332,-51.5
